x,y,z,fx,fy,fz,p,v
-1.178511301977580361e+00,-8.333333333333333703e-01,-2.357022603955157614e+00,1.803400567916813120e+07,0.000000000000000000e+00,1.803400567906598002e+07,5.422639807079074217e+02,1.290566979729654312e+09
-2.357022603955159834e+00,8.333333333333333703e-01,-1.178511301977578141e+00,4.465352600881947875e+08,0.000000000000000000e+00,4.465352600880925059e+08,2.698314305528161640e+03,6.421882086102604866e+09
1.178511301977578141e+00,8.333333333333333703e-01,2.357022603955159834e+00,-1.803400567916812003e+07,0.000000000000000000e+00,-1.803400567927027121e+07,5.422639807079071943e+02,1.290566979729653597e+09
2.357022603955157170e+00,-8.333333333333333703e-01,1.178511301977580583e+00,-4.465352600881949663e+08,0.000000000000000000e+00,-4.465352600882972479e+08,2.698314305528162549e+03,6.421882086102606773e+09
2.357022603955157170e+00,8.333333333333333703e-01,-1.178511301977578141e+00,-4.465353837209885120e+08,0.000000000000000000e+00,4.465353837208863497e+08,2.698314679071017963e+03,6.421882975119934082e+09
1.178511301977578141e+00,-8.333333333333333703e-01,-2.357022603955157170e+00,-1.803400574714944139e+07,0.000000000000000000e+00,1.803400574704729021e+07,5.422639817299714196e+02,1.290566982162126303e+09
1.178511301977578141e+00,-2.500000000000000000e+00,1.184237892933500244e-15,0.000000000000000000e+00,1.001720136452570677e+09,-1.021526041666667083e-04,3.398445893152313602e+03,8.088167770934287071e+09
-1.178511301977580361e+00,-2.500000000000000000e+00,1.165734175856414367e-15,0.000000000000000000e+00,1.001719639823728800e+09,-1.021526041666667083e-04,3.398445050718186849e+03,8.088165765974146843e+09
-1.178511301977580583e+00,-8.333333333333333703e-01,2.357022603955159834e+00,1.803400567916813120e+07,0.000000000000000000e+00,-1.803400567927028239e+07,5.422639807079074217e+02,1.290566979729654312e+09
-2.357022603955159834e+00,8.333333333333333703e-01,1.178511301977580583e+00,4.465352600881944299e+08,0.000000000000000000e+00,-4.465352600882965922e+08,2.698314305528160730e+03,6.421882086102602005e+09
-1.184237892933500244e-15,2.500000000000000000e+00,-1.178511301977578141e+00,0.000000000000000000e+00,-6.314963923110544682e+08,-1.021526041666667083e-04,2.698314671750186335e+03,6.421882957696641922e+09
-1.165734175856414367e-15,2.500000000000000000e+00,1.178511301977580361e+00,0.000000000000000000e+00,-6.314963923110542297e+08,-1.021526041666667083e-04,2.698314671750185880e+03,6.421882957696640968e+09
