x,y,z,fx,fy,fz,p
8.333333333333315940e-01,-8.333333333333333703e-01,-2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.012018901673044078e+06,2.403884006227112025e+02
-8.333333333333351467e-01,8.333333333333333703e-01,-2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.012018901672976092e+06,2.403884006227095824e+02
-8.333333333333351467e-01,8.333333333333333703e-01,2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.012018901877284981e+06,2.403884006227096677e+02
8.333333333333315940e-01,-8.333333333333333703e-01,2.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,-5.012018901877352968e+06,2.403884006227112877e+02
2.499999999999998224e+00,8.333333333333333703e-01,8.333333333333333703e-01,-8.071472003074542284e+08,0.000000000000000000e+00,-1.021526041666666811e-04,3.050587808105058230e+03
2.499999999999998224e+00,-8.333333333333333703e-01,-8.333333333333333703e-01,-8.071469018559566736e+08,0.000000000000000000e+00,-1.021526041666666811e-04,3.050587244110917254e+03
8.333333333333315940e-01,-2.500000000000000000e+00,8.333333333333333703e-01,0.000000000000000000e+00,8.071472003074533939e+08,-1.021526041666666811e-04,3.050587808105056865e+03
-8.333333333333351467e-01,-2.500000000000000000e+00,-8.333333333333333703e-01,0.000000000000000000e+00,8.071469018559556007e+08,-1.021526041666666811e-04,3.050587244110914980e+03
-2.500000000000001776e+00,-8.333333333333333703e-01,8.333333333333333703e-01,8.071472003074529171e+08,0.000000000000000000e+00,-1.021526041666666811e-04,3.050587808105055501e+03
-2.500000000000001776e+00,8.333333333333333703e-01,-8.333333333333333703e-01,8.071469018559561968e+08,0.000000000000000000e+00,-1.021526041666666811e-04,3.050587244110916345e+03
8.333333333333315940e-01,2.500000000000000000e+00,-8.333333333333333703e-01,0.000000000000000000e+00,-8.071469018559561968e+08,-1.021526041666666811e-04,3.050587244110916345e+03
-8.333333333333351467e-01,2.500000000000000000e+00,8.333333333333333703e-01,0.000000000000000000e+00,-8.071472003074529171e+08,-1.021526041666666811e-04,3.050587808105055956e+03
