cx,cy,cz,fx,fy,fz,p
4.716878364870311202e+00,-8.333333333333333925e+00,-2.081730176127762988e+01,-1.505688298679660540e+06,-0.000000000000000000e+00,-2.607928633675115183e+06,2.409101277887456945e+03
-9.716878364870332518e+00,8.333333333333333925e+00,-1.248396842794429595e+01,-1.364290423290336970e+06,0.000000000000000000e+00,-2.363020329418513924e+06,2.182864677264539296e+03
1.528312163512966215e+01,8.333333333333333925e+00,3.081730176127764409e+01,1.412506304163145134e+06,0.000000000000000000e+00,2.446532684821906500e+06,2.260010086661032346e+03
2.971687836487030765e+01,-8.333333333333333925e+00,2.248396842794430839e+01,1.286092534447631566e+06,0.000000000000000000e+00,2.227577612898325082e+06,2.057748055116210708e+03
3.581730176127762633e+01,8.333333333333333925e+00,-2.831216351296698686e-01,2.386057149665166158e+06,0.000000000000000000e+00,-1.377590737661014544e+06,2.204145180257623451e+03
2.748396842794429062e+01,-8.333333333333333925e+00,-1.471687836487031653e+01,2.347806150742323138e+06,0.000000000000000000e+00,-1.355506513136139140e+06,2.168810421017822591e+03
2.138354503153697905e+01,-2.500000000000000000e+01,8.050211698203662891e+00,0.000000000000000000e+00,-3.206436704623981379e+06,0.000000000000000000e+00,2.565149363699184505e+03
-1.383545031537001480e+00,-2.500000000000000000e+01,1.949788301796350654e+00,-0.000000000000000000e+00,-2.588084750953503884e+06,0.000000000000000000e+00,2.070467800762803108e+03
-7.483968427944314605e+00,-8.333333333333333925e+00,2.471687836487032897e+01,-2.438736834990122821e+06,0.000000000000000000e+00,1.408005368164202431e+06,2.252808589062724877e+03
-1.581730176127764587e+01,8.333333333333333925e+00,1.028312163512968347e+01,-2.448045868177948985e+06,0.000000000000000000e+00,1.413379940981089137e+06,2.261407905569743434e+03
1.305021169820364513e+01,2.500000000000000000e+01,-6.383545031536982606e+00,0.000000000000000000e+00,3.365805380059223156e+06,0.000000000000000000e+00,2.692644304047378682e+03
6.949788301796331780e+00,2.500000000000000000e+01,1.638354503153699682e+01,0.000000000000000000e+00,3.201781794587807730e+06,-0.000000000000000000e+00,2.561425435670246316e+03
