centroid_x,centroid_y,centroid_z,normal_x,normal_y,normal_z,pressure
9.428090415820634007e+01,1.466666666666666572e+02,-9.428090415820634007e+01,-7.071067811865475727e-01,0.000000000000000000e+00,-7.071067811865475727e-01,4.764347754845377949e+02
8.249579113843054756e+01,1.633333333333333428e+02,-8.249579113843054756e+01,-7.071067811865475727e-01,0.000000000000000000e+00,-7.071067811865475727e-01,5.486139913175945821e+02
1.178511301977579251e+02,1.633333333333333428e+02,-4.714045207910317004e+01,7.071067811865475727e-01,0.000000000000000000e+00,7.071067811865475727e-01,5.502398453567794832e+02
1.296362432175337176e+02,1.466666666666666572e+02,-5.892556509887896254e+01,7.071067811865475727e-01,0.000000000000000000e+00,7.071067811865475727e-01,4.725815921166559974e+02
1.296362432175337176e+02,1.633333333333333428e+02,-8.249579113843054756e+01,7.071067811865475727e-01,0.000000000000000000e+00,-7.071067811865475727e-01,4.753847323321609224e+02
1.178511301977579251e+02,1.466666666666666572e+02,-9.428090415820634007e+01,7.071067811865475727e-01,0.000000000000000000e+00,-7.071067811865475727e-01,4.914166371039162300e+02
1.178511301977579251e+02,1.300000000000000000e+02,-7.071067811865475505e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,5.985303551193123894e+02
9.428090415820634007e+01,1.300000000000000000e+02,-7.071067811865475505e+01,0.000000000000000000e+00,-1.000000000000000000e+00,0.000000000000000000e+00,6.056951072003357694e+02
9.428090415820634007e+01,1.466666666666666572e+02,-4.714045207910317004e+01,-7.071067811865475727e-01,0.000000000000000000e+00,7.071067811865475727e-01,5.551333302754870829e+02
8.249579113843054756e+01,1.633333333333333428e+02,-5.892556509887896254e+01,-7.071067811865475727e-01,0.000000000000000000e+00,7.071067811865475727e-01,5.532281335937580025e+02
1.060660171779821326e+02,1.800000000000000000e+02,-8.249579113843054756e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.284772039576249654e+02
1.060660171779821326e+02,1.800000000000000000e+02,-5.892556509887896254e+01,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.133565936160450747e+02
